iter	Passed	Remaining
376	1306	2159
377	1309	2154
378	1311	2148
379	1313	2143
380	1316	2139
381	1319	2134
382	1322	2130
383	1324	2124
384	1327	2120
385	1330	2116
386	1333	2111
387	1336	2108
388	1339	2103
389	1342	2099
390	1344	2093
391	1346	2088
392	1349	2084
393	1352	2080
394	1355	2075
395	1357	2070
396	1359	2064
397	1362	2061
398	1365	2056
399	1368	2053
400	1372	2049
401	1374	2045
402	1377	2040
403	1381	2038
404	1384	2034
405	1387	2029
406	1391	2026
407	1393	2022
408	1397	2019
409	1401	2016
410	1403	2011
411	1406	2006
412	1407	2001
413	1410	1996
414	1413	1992
415	1416	1988
416	1419	1984
417	1422	1981
418	1425	1976
419	1427	1971
420	1431	1968
421	1435	1965
422	1438	1962
423	1442	1959
424	1444	1954
425	1449	1952
426	1451	1948
427	1454	1943
428	1458	1941
429	1462	1938
430	1464	1934
431	1467	1929
432	1470	1925
433	1472	1920
